seed,n_students,dt,t_max,plv_window_seconds,k_ts,k_st,k_ss,r_mean_last,ts_plv_mean_last,ss_plv_mean_last,teacher_dominance_last,ts_distpi_mean_last,ss_distpi_mean_last,teacher_antiphase_dom_last
2,10,0.01,120.0,2.0,-0.8,0.0,-0.2,0.13883575283967392,0.9948923908032847,0.9889164812966522,0.005975909506632515,1.4418301423986974,1.438435029991825,-0.0033951124068725136
3,10,0.01,120.0,2.0,-0.8,0.0,-0.2,0.16420300663472537,0.9710693461742359,0.9781403863474624,-0.007071040173226462,1.551837262114646,1.4757843687068235,-0.0760528934078224
4,10,0.01,120.0,2.0,-0.8,0.0,-0.2,0.19009873475259237,0.9966559670826814,0.9937915239563043,0.0028644431263771253,1.446522966798122,1.6032029548547446,0.15667998805662253
5,10,0.01,120.0,2.0,-0.8,0.0,-0.2,0.21233980839287042,0.9944648746051274,0.993142600908164,0.0013222736969634719,1.2351774342044222,1.6305748029926854,0.39539736878826326
1,10,0.01,120.0,2.0,-0.8,0.0,0.0,0.4345490517185381,0.9986804367296893,0.9976125256590943,0.0010679110705950068,0.7618009341551841,1.987269148635732,1.2254682144805478
2,10,0.01,120.0,2.0,-0.8,0.0,0.0,0.16208290513949375,0.9954103607855188,0.9899443786053921,0.005465982180126727,1.3565808663751728,1.4780875128573456,0.1215066464821728
3,10,0.01,120.0,2.0,-0.8,0.0,0.0,0.20518736012708674,0.9681564437420116,0.9770235837326046,-0.008867139990592965,1.4422766008871886,1.4703377612241837,0.028061160336995128
4,10,0.01,120.0,2.0,-0.8,0.0,0.0,0.29913301629076866,0.9960023906447489,0.9930803588732194,0.0029220317715294986,0.8519236989451983,1.8876382275184738,1.0357145285732754
5,10,0.01,120.0,2.0,-0.8,0.0,0.0,0.21812232656211203,0.9942107833708788,0.994219421678592,-8.638307713249027e-06,1.1868710217664618,1.536227550318352,0.34935652855189026
1,10,0.01,120.0,2.0,-0.6,-0.4,-0.2,0.20418335297519905,0.9979409436097739,0.9969741087021097,0.0009668349076642491,1.3327190932868571,1.4883073895714056,0.1555882962845485
2,10,0.01,120.0,2.0,-0.6,-0.4,-0.2,0.1698430667450203,0.9951028818338425,0.989924591273167,0.005178290560675536,1.5063468105825568,1.437316512211984,-0.06903029837057284
3,10,0.01,120.0,2.0,-0.6,-0.4,-0.2,0.1674941340688382,0.9727598124000221,0.9838212536046901,-0.01106144120466801,1.7362983509259968,1.504684528126956,-0.23161382279904075
4,10,0.01,120.0,2.0,-0.6,-0.4,-0.2,0.15880338404830724,0.9973119093394676,0.9941348679284636,0.0031770414110039447,1.3497522319613662,1.5384010590986605,0.18864882713729436
5,10,0.01,120.0,2.0,-0.6,-0.4,-0.2,0.19493554880600675,0.9953187918828343,0.9934010457667687,0.001917746116065655,1.1792276519071845,1.6244347310926652,0.44520707918548075
1,10,0.01,120.0,2.0,-0.6,-0.4,0.0,0.3704588236954056,0.9981029826222663,0.9969666109417916,0.001136371680474646,0.9783940347880098,1.7305321996327765,0.7521381648447667
2,10,0.01,120.0,2.0,-0.6,-0.4,0.0,0.19611003212394806,0.9960850131916198,0.9913544606488627,0.004730552542757116,1.7021202361980592,1.4257563303966156,-0.27636390580144354
3,10,0.01,120.0,2.0,-0.6,-0.4,0.0,0.23626175415447875,0.9822980193261348,0.9827192999895121,-0.0004212806633773214,1.4050322012631797,1.5650221567764229,0.15998995551324313
4,10,0.01,120.0,2.0,-0.6,-0.4,0.0,0.2932761094227504,0.9970744286395627,0.9935242086074269,0.003550220032135898,0.7708794476197198,2.0670967637765574,1.2962173161568376
5,10,0.01,120.0,2.0,-0.6,-0.4,0.0,0.23664308331980402,0.9949581853523382,0.9944532082896415,0.0005049770626966987,1.3788921870571074,1.4860690508977472,0.10717686384063985
1,10,0.01,120.0,2.0,-0.6,-0.2,-0.2,0.16977085125344749,0.998540269121337,0.9967630733323989,0.0017771957889380907,1.119644549851103,1.6118066169755065,0.4921620671244036
2,10,0.01,120.0,2.0,-0.6,-0.2,-0.2,0.14686748210808298,0.9948285814888163,0.9894448945477509,0.005383686941065391,1.6137489671592096,1.4439233084235812,-0.16982565873562838
3,10,0.01,120.0,2.0,-0.6,-0.2,-0.2,0.1549135937863714,0.9709651018365488,0.9811931814064737,-0.010228079569924886,1.3881088833878752,1.4818659739660878,0.09375709057821258
